1,ABK2_LIMA,103.130.5.66,PRIMACOM
2,ABKL_LIMA,103.130.5.74,PRIMACOM
3,ABKL_TLKM,36.67.18.226,PRIMACOM
4,ABMS_ISAT,114.6.241.194,PRIMACOM
5,ABMS_TLKM,36.67.115.83,PRIMACOM
6,ADRO_ISAT,114.6.54.117,INDOSAT
7,AREM_TLKM,36.66.233.10,TELKOM
8,ASMI_TBTK,36.92.74.3,TELKOM
9,ASMI_THJK,36.89.122.231,TELKOM
10,ASMI_TQNT,36.66.239.213,TELKOM
11,ASMI_VSAT,192.168.183.2,
12,BAYA_LIMA,103.130.5.90,TELKOM
13,BAYA_MORA,103.135.212.122,OXCIGEN
14,BBS2_TLKM,36.95.63.2,TELKOM
15,BBS2_ISAT,114.5.125.82,INDOSAT
16,BBSO_ISAT,114.5.125.114,INDOSAT
17,BBSO_TLKM,36.66.229.234,TELKOM
18,BEKB_LM_PE,103.130.5.227,LINTASMAYA
19,BEKB_LM_PU,103.130.4.131,LINTASMAYA
20,BPOP_ISAT,114.5.124.211,INDOSAT
21,BPOP_TLKM,36.66.232.98,PRIMACOM
22,BRCB_LIMA,103.130.7.58,LINTASMAYA
23,BRCB_TLKM,36.92.217.154,TELKOM
24,BRCG_XL,121.52.64.50,XL
25,CILE_IFTE,103.164.110.45,IFORTE
26,CILE_PAMD,103.166.5.93,LINKNET
27,CILI_IFTE,103.164.110.170,IFORTE
28,CILI_PAMD,103.166.5.98,LINKNET
29,CILI_PAMS,103.166.4.98,LINKNET
30,EPAS_VSAT,192.168.186.2,
31,ERKA_ISAT,114.5.125.178,INDOSAT
32,ERKA_TLKM,36.94.135.146,PRIMACOM
33,INDO_ISAT,114.5.124.226,INDOSAT
34,INDO_TLKM,36.67.17.90,PRIMACOM
35,JIEP_IFTE,202.51.116.106,IFORTE
36,JIEP_PAMD,103.166.5.51,LINKNET
37,KIDE_SNC,203.80.14.218,SATNET
38,KIDE_TLKM,36.66.230.146,PRIMACOM
39,KIDE_MORA,103.135.212.130,OXCIGEN
40,KPCB_LIMA,103.160.150.74,LINTASMAYA
41,KPCB_MKN,203.153.124.202,MKN
42,KPCS_LIMA,103.119.116.18,LINTASMAYA
43,KPCS_SNC,203.80.9.90,SATNET
44,MTBU_ICON,103.94.124.154,PRIMACOM
45,MTBU_TLKM,36.66.47.186,PRIMACOM
46,PIM_TLKM,180.250.196.252,TELKOM
47,PPSO_TLKM,36.66.231.61,
48,PSR_ISAT,114.6.81.114,PRIMACOM
49,PSR_TLKM,36.66.234.11,PRIMACOM
50,PUCB_TLKMS  ,10.2.179.121,PAMA
51,SEIK_LIMA,103.130.5.154,
52,SMMS_TBTK,36.92.74.22,TELKOM
53,SMMS_THJK,36.89.122.240,TELKOM
